Species 1,Species 2,Dist
LC732123 human JPN 2016 Human-JPN-2016-JP14665 Child-with-acute-gastroenteritis feces serotype 3,OP432297 human CHN 2022 NA HAstV-4-QD-L-22001 NA serotype 4,0.2123341140
LC732122 human JPN 2016 Human-JPN-2016-JP14641 Child-with-acute-gastroenteritis feces serotype 3,OP432297 human CHN 2022 NA HAstV-4-QD-L-22001 NA serotype 4,0.2154566745
ON571598 human CHN 2021 NA 2021-Fuzhou-37 feces serotype 4,OP432297 human CHN 2022 NA HAstV-4-QD-L-22001 NA serotype 4,0.0031104199
ON571597 human CHN 2019 NA 2019-Pingtan-42 feces serotype 1,OP432297 human CHN 2022 NA HAstV-4-QD-L-22001 NA serotype 4,0.2177985948
ON571596 human CHN 2019 NA 2019-Fuzhou-306 feces serotype 1,OP432297 human CHN 2022 NA HAstV-4-QD-L-22001 NA serotype 4,0.2162373146
ON571595 human CHN 2019 NA 2019-Fuzhou-289 feces serotype 5,OP432297 human CHN 2022 NA HAstV-4-QD-L-22001 NA serotype 4,0.2189952904
ON571594 human CHN 2019 NA 2019-Fuzhou-26 feces serotype 1,OP432297 human CHN 2022 NA HAstV-4-QD-L-22001 NA serotype 4,0.2146760343
OP432301 human CHN 2022 NA HAstV-4-QD-L-22019 NA serotype 4,OP432297 human CHN 2022 NA HAstV-4-QD-L-22001 NA serotype 4,0.0031104199
OP432300 human CHN 2022 NA HAstV-4-QD-S-22022 NA serotype 4,OP432297 human CHN 2022 NA HAstV-4-QD-L-22001 NA serotype 4,0.0000000000
OP432299 human CHN 2021 NA HAstV-4-RC-21045 NA serotype 4,OP432297 human CHN 2022 NA HAstV-4-QD-L-22001 NA serotype 4,0.0023328149
OP432298 human CHN 2022 NA HAstV-4-QD-S-22015 NA serotype 4,OP432297 human CHN 2022 NA HAstV-4-QD-L-22001 NA serotype 4,0.0038880249
OR371570 human CHN 2022 HAstV-4-Fuzhou-2022-10 NA feces serotype 4,OP432296 human CHN 2021 NA HAstV-4-RC-21047 NA serotype 4,0.0357698289
OR222910 human CHN 2021 NA SY2106 stool serotype 5,OP432296 human CHN 2021 NA HAstV-4-RC-21047 NA serotype 4,0.2150706436
LC732124 human JPN 2016 Human-JPN-2016-JP14989 Child-with-acute-gastroenteritis feces serotype 3,OP432296 human CHN 2021 NA HAstV-4-RC-21047 NA serotype 4,0.2090837901
LC732123 human JPN 2016 Human-JPN-2016-JP14665 Child-with-acute-gastroenteritis feces serotype 3,OP432296 human CHN 2021 NA HAstV-4-RC-21047 NA serotype 4,0.2092115535
LC732122 human JPN 2016 Human-JPN-2016-JP14641 Child-with-acute-gastroenteritis feces serotype 3,OP432296 human CHN 2021 NA HAstV-4-RC-21047 NA serotype 4,0.2123341140
ON571598 human CHN 2021 NA 2021-Fuzhou-37 feces serotype 4,OP432296 human CHN 2021 NA HAstV-4-RC-21047 NA serotype 4,0.0357698289
ON571597 human CHN 2019 NA 2019-Pingtan-42 feces serotype 1,OP432296 human CHN 2021 NA HAstV-4-RC-21047 NA serotype 4,0.1873536300
ON571596 human CHN 2019 NA 2019-Fuzhou-306 feces serotype 1,OP432296 human CHN 2021 NA HAstV-4-RC-21047 NA serotype 4,0.1873536300
ON571595 human CHN 2019 NA 2019-Fuzhou-289 feces serotype 5,OP432296 human CHN 2021 NA HAstV-4-RC-21047 NA serotype 4,0.2166405024
ON571594 human CHN 2019 NA 2019-Fuzhou-26 feces serotype 1,OP432296 human CHN 2021 NA HAstV-4-RC-21047 NA serotype 4,0.2006245121
OP432301 human CHN 2022 NA HAstV-4-QD-L-22019 NA serotype 4,OP432296 human CHN 2021 NA HAstV-4-RC-21047 NA serotype 4,0.0326594090
OP432300 human CHN 2022 NA HAstV-4-QD-S-22022 NA serotype 4,OP432296 human CHN 2021 NA HAstV-4-RC-21047 NA serotype 4,0.0342146190
OP432299 human CHN 2021 NA HAstV-4-RC-21045 NA serotype 4,OP432296 human CHN 2021 NA HAstV-4-RC-21047 NA serotype 4,0.0357698289
OP432298 human CHN 2022 NA HAstV-4-QD-S-22015 NA serotype 4,OP432296 human CHN 2021 NA HAstV-4-RC-21047 NA serotype 4,0.0349922240
OP432297 human CHN 2022 NA HAstV-4-QD-L-22001 NA serotype 4,OP432296 human CHN 2021 NA HAstV-4-RC-21047 NA serotype 4,0.0342146190
OR371570 human CHN 2022 HAstV-4-Fuzhou-2022-10 NA feces serotype 4,OP432295 human CHN 2022 NA HAstV-4-QD-F-22056 NA serotype 4,0.0054432348
OR222910 human CHN 2021 NA SY2106 stool serotype 5,OP432295 human CHN 2022 NA HAstV-4-QD-F-22056 NA serotype 4,0.2197802198
LC732124 human JPN 2016 Human-JPN-2016-JP14989 Child-with-acute-gastroenteritis feces serotype 3,OP432295 human CHN 2022 NA HAstV-4-QD-F-22056 NA serotype 4,0.2106499608
LC732123 human JPN 2016 Human-JPN-2016-JP14665 Child-with-acute-gastroenteritis feces serotype 3,OP432295 human CHN 2022 NA HAstV-4-QD-F-22056 NA serotype 4,0.2138953942
LC732122 human JPN 2016 Human-JPN-2016-JP14641 Child-with-acute-gastroenteritis feces serotype 3,OP432295 human CHN 2022 NA HAstV-4-QD-F-22056 NA serotype 4,0.2170179547
ON571598 human CHN 2021 NA 2021-Fuzhou-37 feces serotype 4,OP432295 human CHN 2022 NA HAstV-4-QD-F-22056 NA serotype 4,0.0069984448
ON571597 human CHN 2019 NA 2019-Pingtan-42 feces serotype 1,OP432295 human CHN 2022 NA HAstV-4-QD-F-22056 NA serotype 4,0.2185792350
ON571596 human CHN 2019 NA 2019-Fuzhou-306 feces serotype 1,OP432295 human CHN 2022 NA HAstV-4-QD-F-22056 NA serotype 4,0.2170179547
ON571595 human CHN 2019 NA 2019-Fuzhou-289 feces serotype 5,OP432295 human CHN 2022 NA HAstV-4-QD-F-22056 NA serotype 4,0.2213500785
ON571594 human CHN 2019 NA 2019-Fuzhou-26 feces serotype 1,OP432295 human CHN 2022 NA HAstV-4-QD-F-22056 NA serotype 4,0.2154566745
OP432301 human CHN 2022 NA HAstV-4-QD-L-22019 NA serotype 4,OP432295 human CHN 2022 NA HAstV-4-QD-F-22056 NA serotype 4,0.0069984448
OP432300 human CHN 2022 NA HAstV-4-QD-S-22022 NA serotype 4,OP432295 human CHN 2022 NA HAstV-4-QD-F-22056 NA serotype 4,0.0069984448
OP432299 human CHN 2021 NA HAstV-4-RC-21045 NA serotype 4,OP432295 human CHN 2022 NA HAstV-4-QD-F-22056 NA serotype 4,0.0069984448
OP432298 human CHN 2022 NA HAstV-4-QD-S-22015 NA serotype 4,OP432295 human CHN 2022 NA HAstV-4-QD-F-22056 NA serotype 4,0.0077760498
OP432297 human CHN 2022 NA HAstV-4-QD-L-22001 NA serotype 4,OP432295 human CHN 2022 NA HAstV-4-QD-F-22056 NA serotype 4,0.0069984448
OP432296 human CHN 2021 NA HAstV-4-RC-21047 NA serotype 4,OP432295 human CHN 2022 NA HAstV-4-QD-F-22056 NA serotype 4,0.0396578538
OR371570 human CHN 2022 HAstV-4-Fuzhou-2022-10 NA feces serotype 4,OP432294 human CHN 2022 NA HAstV-4-QD-L-22040 NA serotype 4,0.0038880249
OR222910 human CHN 2021 NA SY2106 stool serotype 5,OP432294 human CHN 2022 NA HAstV-4-QD-L-22040 NA serotype 4,0.2174254317
LC732124 human JPN 2016 Human-JPN-2016-JP14989 Child-with-acute-gastroenteritis feces serotype 3,OP432294 human CHN 2022 NA HAstV-4-QD-L-22040 NA serotype 4,0.2090837901
LC732123 human JPN 2016 Human-JPN-2016-JP14665 Child-with-acute-gastroenteritis feces serotype 3,OP432294 human CHN 2022 NA HAstV-4-QD-L-22040 NA serotype 4,0.2123341140
LC732122 human JPN 2016 Human-JPN-2016-JP14641 Child-with-acute-gastroenteritis feces serotype 3,OP432294 human CHN 2022 NA HAstV-4-QD-L-22040 NA serotype 4,0.2154566745
ON571598 human CHN 2021 NA 2021-Fuzhou-37 feces serotype 4,OP432294 human CHN 2022 NA HAstV-4-QD-L-22040 NA serotype 4,0.0054432348
ON571597 human CHN 2019 NA 2019-Pingtan-42 feces serotype 1,OP432294 human CHN 2022 NA HAstV-4-QD-L-22040 NA serotype 4,0.2170179547
ON571596 human CHN 2019 NA 2019-Fuzhou-306 feces serotype 1,OP432294 human CHN 2022 NA HAstV-4-QD-L-22040 NA serotype 4,0.2154566745
ON571595 human CHN 2019 NA 2019-Fuzhou-289 feces serotype 5,OP432294 human CHN 2022 NA HAstV-4-QD-L-22040 NA serotype 4,0.2189952904
ON571594 human CHN 2019 NA 2019-Fuzhou-26 feces serotype 1,OP432294 human CHN 2022 NA HAstV-4-QD-L-22040 NA serotype 4,0.2138953942
OP432301 human CHN 2022 NA HAstV-4-QD-L-22019 NA serotype 4,OP432294 human CHN 2022 NA HAstV-4-QD-L-22040 NA serotype 4,0.0007776050
OP432300 human CHN 2022 NA HAstV-4-QD-S-22022 NA serotype 4,OP432294 human CHN 2022 NA HAstV-4-QD-L-22040 NA serotype 4,0.0038880249
OP432299 human CHN 2021 NA HAstV-4-RC-21045 NA serotype 4,OP432294 human CHN 2022 NA HAstV-4-QD-L-22040 NA serotype 4,0.0054432348
OP432298 human CHN 2022 NA HAstV-4-QD-S-22015 NA serotype 4,OP432294 human CHN 2022 NA HAstV-4-QD-L-22040 NA serotype 4,0.0015552100
OP432297 human CHN 2022 NA HAstV-4-QD-L-22001 NA serotype 4,OP432294 human CHN 2022 NA HAstV-4-QD-L-22040 NA serotype 4,0.0038880249
OP432296 human CHN 2021 NA HAstV-4-RC-21047 NA serotype 4,OP432294 human CHN 2022 NA HAstV-4-QD-L-22040 NA serotype 4,0.0334370140
OP432295 human CHN 2022 NA HAstV-4-QD-F-22056 NA serotype 4,OP432294 human CHN 2022 NA HAstV-4-QD-L-22040 NA serotype 4,0.0077760498
OR371570 human CHN 2022 HAstV-4-Fuzhou-2022-10 NA feces serotype 4,OP432293 human CHN 2021 NA HAstV-4-RC-21027 NA serotype 4,0.0031104199
OR222910 human CHN 2021 NA SY2106 stool serotype 5,OP432293 human CHN 2021 NA HAstV-4-RC-21027 NA serotype 4,0.2174254317
LC732124 human JPN 2016 Human-JPN-2016-JP14989 Child-with-acute-gastroenteritis feces serotype 3,OP432293 human CHN 2021 NA HAstV-4-RC-21027 NA serotype 4,0.2098668755
LC732123 human JPN 2016 Human-JPN-2016-JP14665 Child-with-acute-gastroenteritis feces serotype 3,OP432293 human CHN 2021 NA HAstV-4-RC-21027 NA serotype 4,0.2131147541
LC732122 human JPN 2016 Human-JPN-2016-JP14641 Child-with-acute-gastroenteritis feces serotype 3,OP432293 human CHN 2021 NA HAstV-4-RC-21027 NA serotype 4,0.2162373146
ON571598 human CHN 2021 NA 2021-Fuzhou-37 feces serotype 4,OP432293 human CHN 2021 NA HAstV-4-RC-21027 NA serotype 4,0.0031104199
ON571597 human CHN 2019 NA 2019-Pingtan-42 feces serotype 1,OP432293 human CHN 2021 NA HAstV-4-RC-21027 NA serotype 4,0.2185792350
ON571596 human CHN 2019 NA 2019-Fuzhou-306 feces serotype 1,OP432293 human CHN 2021 NA HAstV-4-RC-21027 NA serotype 4,0.2170179547
ON571595 human CHN 2019 NA 2019-Fuzhou-289 feces serotype 5,OP432293 human CHN 2021 NA HAstV-4-RC-21027 NA serotype 4,0.2189952904
ON571594 human CHN 2019 NA 2019-Fuzhou-26 feces serotype 1,OP432293 human CHN 2021 NA HAstV-4-RC-21027 NA serotype 4,0.2154566745
OP432301 human CHN 2022 NA HAstV-4-QD-L-22019 NA serotype 4,OP432293 human CHN 2021 NA HAstV-4-RC-21027 NA serotype 4,0.0046656299
