Position in MW485042_human_KEN_2019_KLF-HAstV2-005-2, Recombination breakpoint number (200nt win), Upper 99% CI, Lower 99% CI, Upper 95% CI, Lower 95% CI
343,0,2,0,1,0
345,0,2,0,1,0
347,0,2,0,1,0
349,0,2,0,1,0
351,0,2,0,1,0
353,0,2,0,1,0
355,0,2,0,1,0
357,0,2,0,1,0
359,0,2,0,1,0
361,0,2,0,1,0
363,0,2,0,1,0
365,0,2,0,1,0
367,0,2,0,1,0
369,0,2,0,1,0
371,0,2,0,1,0
373,0,2,0,1,0
375,0,2,0,1,0
377,0,2,0,1,0
379,0,2,0,1,0
381,0,2,0,1,0
383,0,2,0,1,0
385,0,2,0,1,0
387,0,2,0,1,0
389,0,2,0,1,0
391,0,2,0,1,0
393,0,2,0,1,0
395,0,2,0,1,0
397,0,2,0,1,0
399,0,2,0,1,0
401,0,2,0,1,0
403,0,2,0,1,0
405,0,2,0,1,0
407,0,2,0,1,0
409,0,2,0,1,0
411,0,2,0,1,0
413,0,2,0,1,0
415,0,2,0,1,0
417,0,2,0,1,0
419,0,2,0,1,0
421,0,2,0,1,0
423,0,2,0,1,0
425,0,2,0,1,0
427,0,2,0,1,0
429,0,2,0,1,0
431,0,2,0,1,0
433,0,2,0,1,0
435,0,2,0,1,0
437,0,2,0,1,0
439,0,2,0,1,0
441,0,2,0,1,0
443,0,2,0,1,0
445,0,2,0,1,0
447,0,2,0,1,0
449,0,2,0,1,0
451,0,2,0,1,0
453,0,2,0,1,0
455,0,2,0,1,0
457,0,2,0,1,0
459,0,2,0,1,0
461,0,2,0,1,0
463,0,2,0,1,0
465,0,2,0,1,0
467,0,2,0,1,0
469,0,2,0,1,0
471,0,2,0,1,0
473,0,2,0,1,0
475,0,2,0,1,0
477,0,2,0,1,0
479,0,2,0,1,0
481,0,2,0,1,0
483,0,2,0,1,0
485,0,2,0,1,0
487,0,2,0,1,0
489,0,2,0,1,0
491,0,2,0,1,0
493,0,2,0,1,0
495,0,2,0,1,0
497,0,2,0,1,0
499,0,2,0,1,0
501,0,2,0,1,0
503,0,2,0,1,0
505,0,2,0,1,0
507,0,2,0,1,0
509,0,2,0,1,0
511,0,2,0,1,0
513,0,2,0,1,0
515,0,2,0,1,0
517,0,2,0,1,0
519,0,2,0,1,0
521,0,2,0,1,0
523,0,2,0,1,0
525,0,2,0,1,0
527,0,2,0,1,0
529,0,2,0,1,0
531,0,2,0,1,0
533,0,2,0,1,0
535,0,2,0,1,0
537,0,2,0,1,0
539,0,2,0,1,0
541,0,2,0,1,0
543,0,2,0,1,0
545,0,2,0,1,0
547,0,2,0,1,0
549,0,2,0,1,0
551,0,2,0,1,0
553,0,2,0,1,0
555,0,2,0,1,0
557,0,2,0,1,0
559,0,2,0,1,0
561,0,2,0,1,0
563,0,2,0,1,0
565,0,2,0,1,0
567,0,2,0,1,0
569,0,2,0,1,0
571,0,2,0,1,0
573,0,2,0,1,0
575,0,2,0,1,0
577,0,2,0,1,0
579,0,2,0,1,0
581,0,1,0,1,0
583,0,1,0,1,0
585,0,1,0,1,0
587,0,1,0,1,0
589,0,1,0,1,0
591,0,1,0,1,0
593,0,1,0,1,0
595,0,1,0,1,0
597,0,1,0,1,0
599,0,2,0,1,0
601,0,2,0,1,0
603,0,1,0,1,0
605,0,1,0,1,0
607,0,1,0,1,0
609,0,1,0,1,0
611,0,1,0,1,0
613,0,1,0,1,0
615,0,1,0,1,0
617,0,2,0,1,0
619,0,2,0,1,0
621,0,2,0,1,0
623,0,1,0,1,0
625,0,1,0,1,0
627,0,1,0,1,0
629,0,1,0,1,0
631,0,1,0,1,0
633,0,1,0,1,0
635,0,1,0,1,0
637,0,1,0,1,0
639,0,1,0,1,0
641,0,1,0,1,0
643,0,1,0,1,0
645,0,1,0,1,0
647,0,1,0,1,0
649,0,1,0,1,0
651,0,1,0,1,0
653,0,1,0,1,0
655,0,1,0,1,0
657,0,1,0,1,0
659,0,1,0,1,0
661,0,1,0,1,0
663,0,1,0,1,0
665,0,1,0,1,0
667,0,1,0,1,0
669,0,1,0,1,0
671,0,1,0,1,0
673,0,1,0,1,0
675,0,1,0,1,0
677,0,1,0,1,0
679,0,1,0,1,0
681,0,2,0,1,0
683,0,2,0,1,0
685,0,2,0,1,0
687,0,2,0,1,0
689,0,2,0,1,0
691,0,2,0,1,0
693,0,2,0,1,0
695,0,2,0,1,0
697,0,2,0,1,0
699,0,1,0,1,0
701,0,2,0,1,0
703,0,2,0,1,0
705,0,2,0,1,0
707,0,2,0,1,0
709,0,2,0,1,0
711,0,2,0,1,0
713,0,2,0,1,0
715,0,2,0,1,0
717,0,2,0,1,0
719,0,2,0,1,0
721,0,2,0,1,0
723,0,2,0,1,0
725,0,2,0,1,0
727,0,2,0,1,0
729,0,2,0,1,0
731,0,2,0,1,0
733,0,2,0,1,0
735,0,2,0,1,0
737,0,2,0,1,0
739,0,2,0,1,0
741,0,2,0,1,0
743,0,2,0,1,0
745,0,2,0,1,0
747,0,2,0,1,0
749,0,2,0,1,0
751,0,2,0,1,0
753,0,2,0,1,0
755,0,2,0,1,0
757,0,2,0,1,0
759,0,2,0,1,0
761,0,2,0,1,0
763,0,2,0,1,0
765,0,2,0,1,0
767,0,2,0,1,0
769,0,2,0,1,0
771,0,2,0,1,0
773,0,2,0,1,0
775,0,2,0,1,0
777,0,2,0,1,0
779,0,2,0,1,0
781,0,2,0,1,0
783,0,2,0,1,0
785,0,2,0,1,0
787,0,2,0,1,0
789,0,2,0,1,0
791,0,2,0,1,0
793,0,2,0,1,0
795,0,2,0,1,0
797,0,2,0,1,0
799,0,2,0,1,0
801,0,2,0,1,0
803,0,2,0,1,0
805,0,2,0,1,0
807,0,2,0,1,0
809,0,2,0,1,0
811,0,2,0,1,0
813,0,2,0,1,0
815,0,2,0,1,0
817,0,2,0,1,0
819,0,2,0,1,0
821,0,2,0,1,0
823,0,2,0,1,0
825,0,2,0,1,0
827,0,2,0,1,0
829,0,2,0,1,0
831,0,2,0,1,0
833,0,2,0,1,0
835,0,2,0,1,0
837,0,2,0,1,0
839,0,2,0,1,0
841,0,2,0,1,0
843,0,2,0,1,0
845,0,2,0,1,0
847,0,2,0,1,0
849,0,2,0,1,0
851,0,2,0,1,0
853,0,2,0,1,0
855,0,2,0,1,0
857,0,2,0,1,0
859,0,2,0,1,0
861,0,2,0,1,0
863,0,2,0,1,0
865,0,2,0,1,0
867,0,2,0,1,0
869,0,2,0,1,0
871,0,2,0,1,0
873,0,2,0,1,0
875,0,2,0,1,0
877,0,2,0,1,0
879,0,2,0,1,0
881,0,2,0,1,0
883,0,2,0,1,0
885,0,2,0,1,0
887,0,2,0,1,0
889,0,2,0,1,0
891,0,2,0,1,0
893,0,2,0,1,0
895,0,2,0,1,0
897,0,2,0,1,0
899,0,2,0,1,0
901,0,2,0,1,0
903,0,2,0,1,0
905,0,2,0,1,0
907,0,2,0,1,0
909,0,2,0,1,0
911,0,2,0,1,0
913,0,2,0,1,0
915,0,2,0,1,0
917,0,2,0,1,0
919,0,2,0,1,0
921,0,2,0,1,0
923,0,2,0,1,0
925,0,2,0,1,0
927,0,2,0,1,0
929,0,2,0,1,0
931,0,2,0,1,0
933,0,2,0,1,0
935,0,2,0,1,0
937,0,2,0,1,0
939,0,2,0,1,0
941,0,2,0,1,0
943,0,2,0,1,0
945,0,2,0,1,0
947,0,2,0,1,0
949,0,2,0,1,0
951,0,2,0,1,0
953,0,2,0,1,0
955,0,2,0,1,0
957,0,2,0,1,0
959,0,2,0,1,0
961,0,2,0,1,0
963,0,2,0,1,0
965,0,2,0,1,0
967,0,2,0,1,0
969,0,2,0,1,0
971,0,2,0,1,0
973,0,2,0,1,0
975,0,2,0,1,0
977,0,2,0,1,0
979,0,2,0,1,0
981,0,2,0,1,0
983,0,2,0,1,0
985,0,2,0,1,0
987,0,2,0,1,0
989,0,2,0,1,0
991,0,2,0,1,0
993,0,2,0,1,0
995,0,2,0,1,0
997,0,2,0,1,0
999,0,2,0,1,0
1001,0,2,0,1,0
1003,0,2,0,1,0
1005,0,2,0,1,0
1007,0,2,0,1,0
1009,0,2,0,1,0
1011,0,2,0,1,0
1013,0,2,0,1,0
1015,0,2,0,1,0
1017,0,2,0,1,0
1019,0,2,0,1,0
1021,0,2,0,1,0
1023,0,2,0,1,0
1025,0,2,0,1,0
1027,0,2,0,1,0
1029,0,2,0,1,0
1031,0,2,0,1,0
1033,0,2,0,1,0
1035,0,2,0,1,0
1037,0,2,0,1,0
1039,0,2,0,1,0
1041,0,2,0,1,0
1043,0,2,0,1,0
1045,0,2,0,1,0
1047,0,2,0,1,0
1049,0,2,0,1,0
1051,0,2,0,1,0
1053,0,2,0,1,0
1055,0,2,0,1,0
1057,0,2,0,1,0
1059,0,2,0,1,0
1061,0,2,0,1,0
1063,0,2,0,1,0
1065,0,2,0,1,0
1067,0,2,0,1,0
1069,0,2,0,1,0
1071,0,2,0,1,0
1073,0,2,0,1,0
1075,0,2,0,1,0
1077,0,2,0,1,0
1079,0,2,0,1,0
1081,0,2,0,1,0
1083,0,2,0,1,0
1085,0,2,0,1,0
1087,0,2,0,1,0
1089,0,2,0,1,0
1091,0,2,0,1,0
1093,0,2,0,1,0
1095,0,2,0,1,0
1097,0,2,0,1,0
1099,0,2,0,1,0
1101,0,2,0,1,0
1103,0,2,0,1,0
1105,0,2,0,1,0
1107,0,2,0,1,0
1109,0,2,0,1,0
1111,0,2,0,1,0
1113,0,2,0,1,0
1115,0,2,0,1,0
1117,0,2,0,1,0
1119,0,2,0,1,0
1121,0,2,0,1,0
1123,0,2,0,1,0
1125,0,2,0,1,0
1127,0,2,0,1,0
1129,0,2,0,1,0
1131,0,2,0,1,0
1133,0,2,0,1,0
1135,0,2,0,1,0
1137,0,2,0,1,0
1139,0,2,0,1,0
1141,0,2,0,1,0
1143,0,2,0,1,0
1145,0,2,0,1,0
1147,0,2,0,1,0
1149,0,2,0,1,0
1151,0,2,0,1,0
1153,0,2,0,1,0
1155,0,2,0,1,0
1157,0,2,0,1,0
1159,0,2,0,1,0
1161,0,2,0,1,0
1163,0,2,0,1,0
1165,0,2,0,1,0
1167,0,2,0,1,0
1169,0,2,0,1,0
1171,0,2,0,1,0
1173,0,2,0,1,0
1175,0,2,0,1,0
1177,0,2,0,1,0
1179,0,2,0,1,0
1181,0,2,0,1,0
1183,0,2,0,1,0
1185,0,2,0,1,0
1187,0,2,0,1,0
1189,0,2,0,1,0
1191,0,2,0,1,0
1193,0,2,0,1,0
1195,0,2,0,1,0
1197,0,2,0,1,0
1199,0,2,0,1,0
1201,0,2,0,1,0
1203,0,2,0,1,0
1205,0,2,0,1,0
1207,0,2,0,1,0
1209,0,2,0,1,0
1211,0,2,0,1,0
1213,0,2,0,1,0
1215,0,2,0,1,0
1217,0,2,0,1,0
1219,0,2,0,1,0
1221,0,2,0,1,0
1223,0,2,0,1,0
1225,0,2,0,1,0
1227,0,2,0,1,0
1229,0,2,0,1,0
1231,0,2,0,1,0
1233,0,2,0,1,0
1235,0,2,0,1,0
1237,0,2,0,1,0
1239,0,2,0,1,0
1241,0,2,0,1,0
1243,0,2,0,1,0
1245,0,2,0,1,0
1247,0,2,0,1,0
1249,0,2,0,1,0
1251,0,2,0,1,0
1253,0,2,0,1,0
1255,0,2,0,1,0
1257,0,2,0,1,0
1259,0,2,0,1,0
1261,0,2,0,1,0
1263,0,2,0,1,0
1265,0,2,0,1,0
1267,0,2,0,1,0
1269,0,2,0,1,0
1271,0,2,0,1,0
1273,0,2,0,1,0
1275,0,2,0,1,0
1277,0,2,0,1,0
1279,0,2,0,1,0
1281,0,2,0,1,0
1283,0,2,0,1,0
1285,0,2,0,1,0
1287,0,2,0,1,0
1289,0,2,0,1,0
1291,0,2,0,1,0
1293,0,2,0,1,0
1295,0,2,0,1,0
1297,0,2,0,1,0
1299,0,2,0,1,0
1301,0,2,0,1,0
1303,0,2,0,1,0
1305,0,2,0,1,0
1307,0,2,0,1,0
1309,0,2,0,1,0
1311,0,2,0,1,0
1313,0,2,0,1,0
1315,0,2,0,1,0
1317,0,2,0,1,0
1319,0,2,0,1,0
1321,0,2,0,1,0
1323,0,2,0,1,0
1325,0,2,0,1,0
1327,0,2,0,1,0
1329,0,2,0,1,0
1331,0,2,0,1,0
1333,0,2,0,1,0
1335,0,2,0,1,0
1337,0,2,0,1,0
1339,0,2,0,1,0
1341,0,2,0,1,0
1343,0,2,0,1,0
1345,0,2,0,1,0
1347,0,2,0,1,0
1349,0,2,0,1,0
1351,0,2,0,1,0
1353,0,2,0,1,0
1355,0,2,0,1,0
1357,0,2,0,1,0
1359,0,2,0,1,0
1361,0,2,0,1,0
1363,0,2,0,1,0
1365,0,2,0,1,0
1367,0,2,0,1,0
1369,0,2,0,1,0
1371,0,2,0,1,0
1373,0,2,0,1,0
1375,0,2,0,1,0
1377,0,2,0,1,0
1379,0,2,0,1,0
1381,0,2,0,1,0
1383,0,2,0,1,0
1385,0,2,0,1,0
1387,0,2,0,1,0
1389,0,2,0,1,0
1391,0,2,0,1,0
1393,0,2,0,1,0
1395,0,2,0,1,0
1397,0,2,0,1,0
1399,0,2,0,1,0
1401,0,2,0,1,0
1403,0,2,0,1,0
1405,0,2,0,1,0
1407,0,2,0,1,0
1409,0,2,0,1,0
1411,0,2,0,1,0
1413,0,2,0,1,0
1415,0,2,0,1,0
1417,0,2,0,1,0
1419,0,2,0,1,0
1421,0,2,0,1,0
1423,0,2,0,1,0
1425,0,2,0,1,0
1427,0,2,0,1,0
1429,0,2,0,1,0
1431,0,2,0,1,0
1433,0,2,0,1,0
1435,0,2,0,1,0
1437,0,2,0,1,0
1439,0,2,0,1,0
1441,0,2,0,1,0
1443,0,2,0,1,0
1445,0,2,0,1,0
1447,0,2,0,1,0
1449,0,2,0,1,0
1451,0,2,0,1,0
1453,0,2,0,1,0
1455,0,2,0,1,0
1457,0,2,0,1,0
1459,0,2,0,1,0
1461,0,2,0,1,0
1463,0,2,0,1,0
1465,0,2,0,1,0
1467,0,2,0,1,0
1469,0,2,0,1,0
1471,0,2,0,1,0
1473,0,2,0,1,0
1475,0,2,0,1,0
1477,0,2,0,1,0
1479,0,2,0,1,0
1481,0,2,0,1,0
1483,0,2,0,1,0
1485,0,2,0,1,0
1487,0,2,0,1,0
1489,0,2,0,1,0
1491,0,2,0,1,0
1493,0,2,0,1,0
1495,0,2,0,1,0
1497,0,2,0,1,0
1499,0,2,0,1,0
1501,0,2,0,1,0
1503,0,2,0,1,0
1505,0,2,0,1,0
1507,0,2,0,1,0
1509,0,2,0,1,0
1511,0,2,0,1,0
1513,0,2,0,1,0
1515,0,2,0,1,0
1517,0,2,0,1,0
1519,0,2,0,1,0
1521,0,2,0,1,0
1523,0,2,0,1,0
1525,0,2,0,1,0
1527,0,2,0,1,0
1529,0,2,0,1,0
1531,0,2,0,1,0
1533,0,2,0,1,0
1535,0,2,0,1,0
1537,0,2,0,1,0
1539,0,2,0,1,0
1541,0,1,0,1,0
1543,0,1,0,1,0
1545,0,1,0,1,0
1547,0,1,0,1,0
1549,0,1,0,1,0
1551,0,1,0,1,0
1553,0,1,0,1,0
1555,0,1,0,1,0
1557,0,1,0,1,0
1559,0,2,0,1,0
1561,0,2,0,1,0
1563,0,2,0,1,0
1565,0,1,0,1,0
1567,0,1,0,1,0
1569,0,1,0,1,0
1571,0,1,0,1,0
1573,0,1,0,1,0
1575,0,2,0,1,0
1577,0,2,0,1,0
1579,0,2,0,1,0
1581,0,2,0,1,0
1583,0,2,0,1,0
1585,0,2,0,1,0
1587,0,2,0,1,0
1589,0,2,0,1,0
1591,0,2,0,1,0
1593,0,2,0,1,0
1595,0,2,0,1,0
1597,0,2,0,1,0
1599,0,2,0,1,0
1601,0,2,0,1,0
1603,0,2,0,1,0
1605,0,2,0,1,0
1607,0,2,0,1,0
1609,0,2,0,1,0
1611,0,2,0,1,0
1613,0,2,0,1,0
1615,0,2,0,1,0
1617,0,2,0,1,0
1619,0,2,0,1,0
1621,0,2,0,1,0
1623,0,2,0,1,0
1625,0,2,0,1,0
1627,0,2,0,1,0
1629,0,2,0,1,0
1631,0,2,0,1,0
1633,0,2,0,1,0
1635,0,2,0,1,0
1637,0,2,0,1,0
1639,0,2,0,1,0
1641,0,2,0,1,0
1643,0,2,0,1,0
1645,0,2,0,1,0
1647,0,2,0,1,0
1649,0,2,0,1,0
1651,0,2,0,1,0
1653,0,2,0,1,0
1655,0,2,0,1,0
1657,0,2,0,1,0
1659,0,2,0,1,0
1661,0,2,0,1,0
1663,0,2,0,1,0
1665,0,2,0,1,0
1667,0,2,0,1,0
1669,0,2,0,1,0
1671,0,2,0,1,0
1673,0,2,0,1,0
1675,0,2,0,1,0
1677,0,2,0,1,0
1679,0,2,0,1,0
1681,0,2,0,1,0
1683,0,2,0,1,0
1685,0,2,0,1,0
1687,0,2,0,1,0
1689,0,2,0,1,0
1691,0,2,0,1,0
1693,0,2,0,1,0
1695,0,2,0,1,0
1697,0,2,0,1,0
1699,0,2,0,1,0
1701,0,2,0,1,0
1703,0,2,0,1,0
1705,0,2,0,1,0
1707,0,2,0,1,0
1709,0,2,0,1,0
1711,0,2,0,1,0
1713,0,2,0,1,0
1715,0,2,0,1,0
1717,0,2,0,1,0
1719,0,2,0,1,0
1721,0,2,0,1,0
1723,0,2,0,1,0
1725,0,2,0,1,0
1727,0,2,0,1,0
1729,0,2,0,1,0
1731,0,2,0,1,0
1733,0,2,0,1,0
1735,0,2,0,1,0
1737,0,2,0,1,0
1739,0,2,0,1,0
1741,0,2,0,1,0
1743,0,2,0,1,0
1745,0,2,0,1,0
1747,0,2,0,1,0
1749,0,2,0,1,0
1751,0,2,0,1,0
1753,0,2,0,1,0
1755,0,2,0,1,0
1757,0,2,0,1,0
1759,0,2,0,1,0
1761,0,2,0,1,0
1763,0,2,0,1,0
1765,0,2,0,1,0
1767,0,2,0,1,0
1769,0,2,0,1,0
1771,0,2,0,1,0
1773,0,2,0,1,0
1775,0,2,0,1,0
1777,0,2,0,1,0
1779,0,2,0,1,0
1781,0,2,0,1,0
1783,0,2,0,1,0
1785,0,2,0,1,0
1787,0,2,0,1,0
1789,0,2,0,1,0
1791,0,2,0,1,0
1793,0,2,0,1,0
1795,0,2,0,1,0
1797,0,2,0,1,0
1799,0,2,0,1,0
1801,0,2,0,1,0
1803,0,2,0,1,0
1805,0,2,0,1,0
1807,0,2,0,1,0
1809,0,2,0,1,0
1811,0,2,0,1,0
1813,0,2,0,1,0
1815,0,2,0,1,0
1817,0,2,0,1,0
1819,0,2,0,1,0
1821,0,2,0,1,0
1823,0,2,0,2,0
1825,0,2,0,2,0
1827,0,2,0,2,0
1829,0,2,0,1,0
1831,0,2,0,1,0
1833,0,2,0,1,0
1835,0,2,0,1,0
1837,0,2,0,1,0
1839,0,2,0,1,0
1841,0,2,0,1,0
1843,0,2,0,1,0
1845,0,2,0,1,0
1847,0,2,0,1,0
1849,0,2,0,1,0
1851,0,2,0,1,0
1853,0,2,0,1,0
1855,0,2,0,1,0
1857,0,2,0,1,0
1859,0,2,0,1,0
1861,0,2,0,1,0
1863,0,2,0,1,0
1865,0,2,0,1,0
1867,0,2,0,1,0
1869,0,2,0,1,0
1871,0,2,0,1,0
1873,0,2,0,1,0
1875,0,2,0,1,0
1877,0,2,0,1,0
1879,1,2,0,1,0
1881,1,2,0,1,0
1883,1,2,0,1,0
1885,1,2,0,1,0
1887,1,2,0,1,0
1889,1,2,0,1,0
1891,1,2,0,1,0
1893,1,2,0,1,0
1895,1,2,0,1,0
1897,1,2,0,1,0
1899,1,2,0,1,0
1901,1,2,0,1,0
1903,1,2,0,1,0
1905,1,2,0,1,0
1907,1,2,0,1,0
1909,1,2,0,1,0
1911,1,2,0,1,0
1913,1,2,0,1,0
1915,1,2,0,1,0
1917,1,2,0,1,0
1919,1,2,0,1,0
1921,1,2,0,1,0
1923,1,2,0,1,0
1925,1,2,0,1,0
1927,1,2,0,1,0
1929,1,2,0,1,0
1931,1,2,0,1,0
1933,1,2,0,1,0
1935,1,2,0,1,0
1937,1,2,0,1,0
1939,1,2,0,1,0
1941,1,2,0,1,0
1943,1,2,0,1,0
1945,1,2,0,1,0
1947,1,2,0,1,0
1949,1,2,0,1,0
1951,1,2,0,1,0
1953,1,2,0,1,0
1955,1,2,0,1,0
1957,1,2,0,1,0
1959,1,2,0,1,0
1961,1,2,0,1,0
1963,1,2,0,1,0
1965,1,2,0,1,0
1967,1,2,0,1,0
1969,1,2,0,1,0
1971,1,2,0,1,0
1973,1,2,0,1,0
1975,1,2,0,1,0
1977,1,2,0,1,0
1979,1,2,0,1,0
1981,1,2,0,1,0
1983,1,2,0,1,0
1985,1,2,0,1,0
1987,1,2,0,1,0
1989,1,2,0,1,0
1991,1,2,0,1,0
1993,1,2,0,1,0
1995,1,2,0,1,0
1997,1,2,0,1,0
1999,1,2,0,1,0
2001,1,2,0,1,0
2003,1,2,0,1,0
2005,1,2,0,1,0
2007,1,2,0,1,0
2009,1,2,0,1,0
2011,1,2,0,1,0
2013,1,2,0,1,0
2015,1,2,0,1,0
2017,1,2,0,1,0
2019,1,2,0,1,0
2021,1,2,0,1,0
2023,1,2,0,1,0
2025,1,2,0,1,0
2027,1,2,0,1,0
2029,1,2,0,1,0
2031,1,2,0,1,0
2033,1,2,0,1,0
2035,1,2,0,1,0
2037,1,2,0,1,0
2039,1,2,0,1,0
2041,1,2,0,1,0
2043,1,2,0,1,0
2045,1,2,0,1,0
2047,1,2,0,1,0
2049,1,2,0,1,0
2051,1,2,0,1,0
2053,1,2,0,1,0
2055,1,2,0,1,0
2057,1,2,0,1,0
2059,1,2,0,1,0
2061,1,2,0,1,0
2063,1,2,0,1,0
2065,1,2,0,1,0
2067,1,2,0,1,0
2069,1,2,0,1,0
2071,1,2,0,1,0
2073,1,2,0,1,0
2075,1,2,0,1,0
2077,1,2,0,1,0
2079,0,2,0,1,0
2081,0,2,0,1,0
2083,0,2,0,1,0
2085,0,2,0,1,0
2087,0,2,0,1,0
2089,0,2,0,1,0
2091,0,2,0,1,0
2093,0,2,0,1,0
2095,0,2,0,1,0
2097,0,2,0,1,0
2099,0,2,0,1,0
2101,0,2,0,1,0
2103,0,2,0,1,0
2105,0,2,0,1,0
2107,0,2,0,1,0
2109,0,2,0,1,0
2111,0,2,0,1,0
2113,0,2,0,1,0
2115,0,2,0,1,0
2117,0,2,0,1,0
2119,0,2,0,1,0
2121,0,2,0,1,0
2123,0,2,0,1,0
2125,0,2,0,1,0
2127,0,2,0,1,0
2129,0,2,0,1,0
2131,0,2,0,1,0
2133,0,2,0,1,0
2135,0,2,0,1,0
2137,0,2,0,1,0
2139,0,2,0,1,0
2141,0,2,0,1,0
2143,0,2,0,1,0
2145,0,2,0,1,0
2147,0,2,0,1,0
2149,0,2,0,1,0
2151,0,2,0,1,0
2153,0,1,0,1,0
2155,0,1,0,1,0
2157,0,1,0,1,0
2159,0,1,0,1,0
2161,0,1,0,1,0
2163,0,1,0,1,0
2165,0,1,0,1,0
2167,0,1,0,1,0
2169,0,1,0,1,0
2171,0,1,0,1,0
2173,0,1,0,1,0
2175,0,1,0,1,0
2177,0,1,0,1,0
2179,0,1,0,1,0
2181,0,1,0,1,0
2183,0,1,0,1,0
2185,0,1,0,1,0
2187,0,1,0,1,0
2189,0,1,0,1,0
2191,0,1,0,1,0
2193,0,1,0,1,0
2195,0,1,0,1,0
2197,0,1,0,1,0
2199,0,1,0,1,0
2201,0,1,0,1,0
2203,1,1,0,1,0
