Species 1,Species 2,Dist
ON571598 human CHN 2021 NA 2021-Fuzhou-37 feces serotype 4,ON571594 human CHN 2019 NA 2019-Fuzhou-26 feces serotype 1,0.1450000000
ON571597 human CHN 2019 NA 2019-Pingtan-42 feces serotype 1,ON571594 human CHN 2019 NA 2019-Fuzhou-26 feces serotype 1,0.0450247636
ON571596 human CHN 2019 NA 2019-Fuzhou-306 feces serotype 1,ON571594 human CHN 2019 NA 2019-Fuzhou-26 feces serotype 1,0.0441242683
ON571595 human CHN 2019 NA 2019-Fuzhou-289 feces serotype 5,ON571594 human CHN 2019 NA 2019-Fuzhou-26 feces serotype 1,0.1249438202
OR371570 human CHN 2022 HAstV-4-Fuzhou-2022-10 NA feces serotype 4,OP432301 human CHN 2022 NA HAstV-4-QD-L-22019 NA serotype 4,0.0031731641
OR222910 human CHN 2021 NA SY2106 stool serotype 5,OP432301 human CHN 2022 NA HAstV-4-QD-L-22019 NA serotype 4,0.1477428181
LC732124 human JPN 2016 Human-JPN-2016-JP14989 Child-with-acute-gastroenteritis feces serotype 3,OP432301 human CHN 2022 NA HAstV-4-QD-L-22019 NA serotype 4,0.1429872495
LC732123 human JPN 2016 Human-JPN-2016-JP14665 Child-with-acute-gastroenteritis feces serotype 3,OP432301 human CHN 2022 NA HAstV-4-QD-L-22019 NA serotype 4,0.1422080872
LC732122 human JPN 2016 Human-JPN-2016-JP14641 Child-with-acute-gastroenteritis feces serotype 3,OP432301 human CHN 2022 NA HAstV-4-QD-L-22019 NA serotype 4,0.1440254430
ON571598 human CHN 2021 NA 2021-Fuzhou-37 feces serotype 4,OP432301 human CHN 2022 NA HAstV-4-QD-L-22019 NA serotype 4,0.0031731641
ON571597 human CHN 2019 NA 2019-Pingtan-42 feces serotype 1,OP432301 human CHN 2022 NA HAstV-4-QD-L-22019 NA serotype 4,0.1481144934
ON571596 human CHN 2019 NA 2019-Fuzhou-306 feces serotype 1,OP432301 human CHN 2022 NA HAstV-4-QD-L-22019 NA serotype 4,0.1472058155
ON571595 human CHN 2019 NA 2019-Fuzhou-289 feces serotype 5,OP432301 human CHN 2022 NA HAstV-4-QD-L-22019 NA serotype 4,0.1500912409
ON571594 human CHN 2019 NA 2019-Fuzhou-26 feces serotype 1,OP432301 human CHN 2022 NA HAstV-4-QD-L-22019 NA serotype 4,0.1459090909
OR371570 human CHN 2022 HAstV-4-Fuzhou-2022-10 NA feces serotype 4,OP432300 human CHN 2022 NA HAstV-4-QD-S-22022 NA serotype 4,0.0031731641
OR222910 human CHN 2021 NA SY2106 stool serotype 5,OP432300 human CHN 2022 NA HAstV-4-QD-S-22022 NA serotype 4,0.1472868217
LC732124 human JPN 2016 Human-JPN-2016-JP14989 Child-with-acute-gastroenteritis feces serotype 3,OP432300 human CHN 2022 NA HAstV-4-QD-S-22022 NA serotype 4,0.1425318761
LC732123 human JPN 2016 Human-JPN-2016-JP14665 Child-with-acute-gastroenteritis feces serotype 3,OP432300 human CHN 2022 NA HAstV-4-QD-S-22022 NA serotype 4,0.1417537483
LC732122 human JPN 2016 Human-JPN-2016-JP14641 Child-with-acute-gastroenteritis feces serotype 3,OP432300 human CHN 2022 NA HAstV-4-QD-S-22022 NA serotype 4,0.1435711040
ON571598 human CHN 2021 NA 2021-Fuzhou-37 feces serotype 4,OP432300 human CHN 2022 NA HAstV-4-QD-S-22022 NA serotype 4,0.0022665458
ON571597 human CHN 2019 NA 2019-Pingtan-42 feces serotype 1,OP432300 human CHN 2022 NA HAstV-4-QD-S-22022 NA serotype 4,0.1481144934
ON571596 human CHN 2019 NA 2019-Fuzhou-306 feces serotype 1,OP432300 human CHN 2022 NA HAstV-4-QD-S-22022 NA serotype 4,0.1472058155
ON571595 human CHN 2019 NA 2019-Fuzhou-289 feces serotype 5,OP432300 human CHN 2022 NA HAstV-4-QD-S-22022 NA serotype 4,0.1496350365
ON571594 human CHN 2019 NA 2019-Fuzhou-26 feces serotype 1,OP432300 human CHN 2022 NA HAstV-4-QD-S-22022 NA serotype 4,0.1459090909
OP432301 human CHN 2022 NA HAstV-4-QD-L-22019 NA serotype 4,OP432300 human CHN 2022 NA HAstV-4-QD-S-22022 NA serotype 4,0.0027198549
OR371570 human CHN 2022 HAstV-4-Fuzhou-2022-10 NA feces serotype 4,OP432299 human CHN 2021 NA HAstV-4-RC-21045 NA serotype 4,0.0036264733
OR222910 human CHN 2021 NA SY2106 stool serotype 5,OP432299 human CHN 2021 NA HAstV-4-RC-21045 NA serotype 4,0.1472868217
LC732124 human JPN 2016 Human-JPN-2016-JP14989 Child-with-acute-gastroenteritis feces serotype 3,OP432299 human CHN 2021 NA HAstV-4-RC-21045 NA serotype 4,0.1429872495
LC732123 human JPN 2016 Human-JPN-2016-JP14665 Child-with-acute-gastroenteritis feces serotype 3,OP432299 human CHN 2021 NA HAstV-4-RC-21045 NA serotype 4,0.1422080872
LC732122 human JPN 2016 Human-JPN-2016-JP14641 Child-with-acute-gastroenteritis feces serotype 3,OP432299 human CHN 2021 NA HAstV-4-RC-21045 NA serotype 4,0.1440254430
ON571598 human CHN 2021 NA 2021-Fuzhou-37 feces serotype 4,OP432299 human CHN 2021 NA HAstV-4-RC-21045 NA serotype 4,0.0027198549
ON571597 human CHN 2019 NA 2019-Pingtan-42 feces serotype 1,OP432299 human CHN 2021 NA HAstV-4-RC-21045 NA serotype 4,0.1485688323
ON571596 human CHN 2019 NA 2019-Fuzhou-306 feces serotype 1,OP432299 human CHN 2021 NA HAstV-4-RC-21045 NA serotype 4,0.1476601545
ON571595 human CHN 2019 NA 2019-Fuzhou-289 feces serotype 5,OP432299 human CHN 2021 NA HAstV-4-RC-21045 NA serotype 4,0.1496350365
ON571594 human CHN 2019 NA 2019-Fuzhou-26 feces serotype 1,OP432299 human CHN 2021 NA HAstV-4-RC-21045 NA serotype 4,0.1463636364
OP432301 human CHN 2022 NA HAstV-4-QD-L-22019 NA serotype 4,OP432299 human CHN 2021 NA HAstV-4-RC-21045 NA serotype 4,0.0040797824
OP432300 human CHN 2022 NA HAstV-4-QD-S-22022 NA serotype 4,OP432299 human CHN 2021 NA HAstV-4-RC-21045 NA serotype 4,0.0027198549
OR371570 human CHN 2022 HAstV-4-Fuzhou-2022-10 NA feces serotype 4,OP432298 human CHN 2022 NA HAstV-4-QD-S-22015 NA serotype 4,0.0031731641
OR222910 human CHN 2021 NA SY2106 stool serotype 5,OP432298 human CHN 2022 NA HAstV-4-QD-S-22015 NA serotype 4,0.1472868217
LC732124 human JPN 2016 Human-JPN-2016-JP14989 Child-with-acute-gastroenteritis feces serotype 3,OP432298 human CHN 2022 NA HAstV-4-QD-S-22015 NA serotype 4,0.1420765027
LC732123 human JPN 2016 Human-JPN-2016-JP14665 Child-with-acute-gastroenteritis feces serotype 3,OP432298 human CHN 2022 NA HAstV-4-QD-S-22015 NA serotype 4,0.1412994094
LC732122 human JPN 2016 Human-JPN-2016-JP14641 Child-with-acute-gastroenteritis feces serotype 3,OP432298 human CHN 2022 NA HAstV-4-QD-S-22015 NA serotype 4,0.1431167651
ON571598 human CHN 2021 NA 2021-Fuzhou-37 feces serotype 4,OP432298 human CHN 2022 NA HAstV-4-QD-S-22015 NA serotype 4,0.0031731641
ON571597 human CHN 2019 NA 2019-Pingtan-42 feces serotype 1,OP432298 human CHN 2022 NA HAstV-4-QD-S-22015 NA serotype 4,0.1472058155
ON571596 human CHN 2019 NA 2019-Fuzhou-306 feces serotype 1,OP432298 human CHN 2022 NA HAstV-4-QD-S-22015 NA serotype 4,0.1462971377
ON571595 human CHN 2019 NA 2019-Fuzhou-289 feces serotype 5,OP432298 human CHN 2022 NA HAstV-4-QD-S-22015 NA serotype 4,0.1496350365
ON571594 human CHN 2019 NA 2019-Fuzhou-26 feces serotype 1,OP432298 human CHN 2022 NA HAstV-4-QD-S-22015 NA serotype 4,0.1450000000
OP432301 human CHN 2022 NA HAstV-4-QD-L-22019 NA serotype 4,OP432298 human CHN 2022 NA HAstV-4-QD-S-22015 NA serotype 4,0.0018132366
OP432300 human CHN 2022 NA HAstV-4-QD-S-22022 NA serotype 4,OP432298 human CHN 2022 NA HAstV-4-QD-S-22015 NA serotype 4,0.0027198549
OP432299 human CHN 2021 NA HAstV-4-RC-21045 NA serotype 4,OP432298 human CHN 2022 NA HAstV-4-QD-S-22015 NA serotype 4,0.0040797824
OR371570 human CHN 2022 HAstV-4-Fuzhou-2022-10 NA feces serotype 4,OP432297 human CHN 2022 NA HAstV-4-QD-L-22001 NA serotype 4,0.0031731641
OR222910 human CHN 2021 NA SY2106 stool serotype 5,OP432297 human CHN 2022 NA HAstV-4-QD-L-22001 NA serotype 4,0.1472868217
LC732124 human JPN 2016 Human-JPN-2016-JP14989 Child-with-acute-gastroenteritis feces serotype 3,OP432297 human CHN 2022 NA HAstV-4-QD-L-22001 NA serotype 4,0.1425318761
LC732123 human JPN 2016 Human-JPN-2016-JP14665 Child-with-acute-gastroenteritis feces serotype 3,OP432297 human CHN 2022 NA HAstV-4-QD-L-22001 NA serotype 4,0.1417537483
LC732122 human JPN 2016 Human-JPN-2016-JP14641 Child-with-acute-gastroenteritis feces serotype 3,OP432297 human CHN 2022 NA HAstV-4-QD-L-22001 NA serotype 4,0.1435711040
ON571598 human CHN 2021 NA 2021-Fuzhou-37 feces serotype 4,OP432297 human CHN 2022 NA HAstV-4-QD-L-22001 NA serotype 4,0.0022665458
ON571597 human CHN 2019 NA 2019-Pingtan-42 feces serotype 1,OP432297 human CHN 2022 NA HAstV-4-QD-L-22001 NA serotype 4,0.1481144934
ON571596 human CHN 2019 NA 2019-Fuzhou-306 feces serotype 1,OP432297 human CHN 2022 NA HAstV-4-QD-L-22001 NA serotype 4,0.1472058155
ON571595 human CHN 2019 NA 2019-Fuzhou-289 feces serotype 5,OP432297 human CHN 2022 NA HAstV-4-QD-L-22001 NA serotype 4,0.1496350365
ON571594 human CHN 2019 NA 2019-Fuzhou-26 feces serotype 1,OP432297 human CHN 2022 NA HAstV-4-QD-L-22001 NA serotype 4,0.1459090909
OP432301 human CHN 2022 NA HAstV-4-QD-L-22019 NA serotype 4,OP432297 human CHN 2022 NA HAstV-4-QD-L-22001 NA serotype 4,0.0027198549
OP432300 human CHN 2022 NA HAstV-4-QD-S-22022 NA serotype 4,OP432297 human CHN 2022 NA HAstV-4-QD-L-22001 NA serotype 4,0.0000000000
OP432299 human CHN 2021 NA HAstV-4-RC-21045 NA serotype 4,OP432297 human CHN 2022 NA HAstV-4-QD-L-22001 NA serotype 4,0.0027198549
OP432298 human CHN 2022 NA HAstV-4-QD-S-22015 NA serotype 4,OP432297 human CHN 2022 NA HAstV-4-QD-L-22001 NA serotype 4,0.0027198549
OR371570 human CHN 2022 HAstV-4-Fuzhou-2022-10 NA feces serotype 4,OP432296 human CHN 2021 NA HAstV-4-RC-21047 NA serotype 4,0.0421577516
OR222910 human CHN 2021 NA SY2106 stool serotype 5,OP432296 human CHN 2021 NA HAstV-4-RC-21047 NA serotype 4,0.1463748290
LC732124 human JPN 2016 Human-JPN-2016-JP14989 Child-with-acute-gastroenteritis feces serotype 3,OP432296 human CHN 2021 NA HAstV-4-RC-21047 NA serotype 4,0.1420765027
LC732123 human JPN 2016 Human-JPN-2016-JP14665 Child-with-acute-gastroenteritis feces serotype 3,OP432296 human CHN 2021 NA HAstV-4-RC-21047 NA serotype 4,0.1431167651
LC732122 human JPN 2016 Human-JPN-2016-JP14641 Child-with-acute-gastroenteritis feces serotype 3,OP432296 human CHN 2021 NA HAstV-4-RC-21047 NA serotype 4,0.1449341209
ON571598 human CHN 2021 NA 2021-Fuzhou-37 feces serotype 4,OP432296 human CHN 2021 NA HAstV-4-RC-21047 NA serotype 4,0.0417044424
ON571597 human CHN 2019 NA 2019-Pingtan-42 feces serotype 1,OP432296 human CHN 2021 NA HAstV-4-RC-21047 NA serotype 4,0.1126760563
ON571596 human CHN 2019 NA 2019-Fuzhou-306 feces serotype 1,OP432296 human CHN 2021 NA HAstV-4-RC-21047 NA serotype 4,0.1117673785
ON571595 human CHN 2019 NA 2019-Fuzhou-289 feces serotype 5,OP432296 human CHN 2021 NA HAstV-4-RC-21047 NA serotype 4,0.1478102190
ON571594 human CHN 2019 NA 2019-Fuzhou-26 feces serotype 1,OP432296 human CHN 2021 NA HAstV-4-RC-21047 NA serotype 4,0.1386363636
OP432301 human CHN 2022 NA HAstV-4-QD-L-22019 NA serotype 4,OP432296 human CHN 2021 NA HAstV-4-RC-21047 NA serotype 4,0.0403445150
OP432300 human CHN 2022 NA HAstV-4-QD-S-22022 NA serotype 4,OP432296 human CHN 2021 NA HAstV-4-RC-21047 NA serotype 4,0.0412511333
OP432299 human CHN 2021 NA HAstV-4-RC-21045 NA serotype 4,OP432296 human CHN 2021 NA HAstV-4-RC-21047 NA serotype 4,0.0426110607
OP432298 human CHN 2022 NA HAstV-4-QD-S-22015 NA serotype 4,OP432296 human CHN 2021 NA HAstV-4-RC-21047 NA serotype 4,0.0412511333
OP432297 human CHN 2022 NA HAstV-4-QD-L-22001 NA serotype 4,OP432296 human CHN 2021 NA HAstV-4-RC-21047 NA serotype 4,0.0412511333
OR371570 human CHN 2022 HAstV-4-Fuzhou-2022-10 NA feces serotype 4,OP432295 human CHN 2022 NA HAstV-4-QD-F-22056 NA serotype 4,0.0045330916
OR222910 human CHN 2021 NA SY2106 stool serotype 5,OP432295 human CHN 2022 NA HAstV-4-QD-F-22056 NA serotype 4,0.1481988144
LC732124 human JPN 2016 Human-JPN-2016-JP14989 Child-with-acute-gastroenteritis feces serotype 3,OP432295 human CHN 2022 NA HAstV-4-QD-F-22056 NA serotype 4,0.1429872495
LC732123 human JPN 2016 Human-JPN-2016-JP14665 Child-with-acute-gastroenteritis feces serotype 3,OP432295 human CHN 2022 NA HAstV-4-QD-F-22056 NA serotype 4,0.1422080872
LC732122 human JPN 2016 Human-JPN-2016-JP14641 Child-with-acute-gastroenteritis feces serotype 3,OP432295 human CHN 2022 NA HAstV-4-QD-F-22056 NA serotype 4,0.1440254430
ON571598 human CHN 2021 NA 2021-Fuzhou-37 feces serotype 4,OP432295 human CHN 2022 NA HAstV-4-QD-F-22056 NA serotype 4,0.0045330916
ON571597 human CHN 2019 NA 2019-Pingtan-42 feces serotype 1,OP432295 human CHN 2022 NA HAstV-4-QD-F-22056 NA serotype 4,0.1485688323
ON571596 human CHN 2019 NA 2019-Fuzhou-306 feces serotype 1,OP432295 human CHN 2022 NA HAstV-4-QD-F-22056 NA serotype 4,0.1476601545
ON571595 human CHN 2019 NA 2019-Fuzhou-289 feces serotype 5,OP432295 human CHN 2022 NA HAstV-4-QD-F-22056 NA serotype 4,0.1505474453
ON571594 human CHN 2019 NA 2019-Fuzhou-26 feces serotype 1,OP432295 human CHN 2022 NA HAstV-4-QD-F-22056 NA serotype 4,0.1459090909
OP432301 human CHN 2022 NA HAstV-4-QD-L-22019 NA serotype 4,OP432295 human CHN 2022 NA HAstV-4-QD-F-22056 NA serotype 4,0.0049864007
OP432300 human CHN 2022 NA HAstV-4-QD-S-22022 NA serotype 4,OP432295 human CHN 2022 NA HAstV-4-QD-F-22056 NA serotype 4,0.0049864007
OP432299 human CHN 2021 NA HAstV-4-RC-21045 NA serotype 4,OP432295 human CHN 2022 NA HAstV-4-QD-F-22056 NA serotype 4,0.0054397099
OP432298 human CHN 2022 NA HAstV-4-QD-S-22015 NA serotype 4,OP432295 human CHN 2022 NA HAstV-4-QD-F-22056 NA serotype 4,0.0049864007
OP432297 human CHN 2022 NA HAstV-4-QD-L-22001 NA serotype 4,OP432295 human CHN 2022 NA HAstV-4-QD-F-22056 NA serotype 4,0.0049864007
OP432296 human CHN 2021 NA HAstV-4-RC-21047 NA serotype 4,OP432295 human CHN 2022 NA HAstV-4-QD-F-22056 NA serotype 4,0.0444242974
OR371570 human CHN 2022 HAstV-4-Fuzhou-2022-10 NA feces serotype 4,OP432294 human CHN 2022 NA HAstV-4-QD-L-22040 NA serotype 4,0.0036264733
OR222910 human CHN 2021 NA SY2106 stool serotype 5,OP432294 human CHN 2022 NA HAstV-4-QD-L-22040 NA serotype 4,0.1472868217
LC732124 human JPN 2016 Human-JPN-2016-JP14989 Child-with-acute-gastroenteritis feces serotype 3,OP432294 human CHN 2022 NA HAstV-4-QD-L-22040 NA serotype 4,0.1425318761
LC732123 human JPN 2016 Human-JPN-2016-JP14665 Child-with-acute-gastroenteritis feces serotype 3,OP432294 human CHN 2022 NA HAstV-4-QD-L-22040 NA serotype 4,0.1417537483
LC732122 human JPN 2016 Human-JPN-2016-JP14641 Child-with-acute-gastroenteritis feces serotype 3,OP432294 human CHN 2022 NA HAstV-4-QD-L-22040 NA serotype 4,0.1435711040
ON571598 human CHN 2021 NA 2021-Fuzhou-37 feces serotype 4,OP432294 human CHN 2022 NA HAstV-4-QD-L-22040 NA serotype 4,0.0036264733
ON571597 human CHN 2019 NA 2019-Pingtan-42 feces serotype 1,OP432294 human CHN 2022 NA HAstV-4-QD-L-22040 NA serotype 4,0.1476601545
ON571596 human CHN 2019 NA 2019-Fuzhou-306 feces serotype 1,OP432294 human CHN 2022 NA HAstV-4-QD-L-22040 NA serotype 4,0.1467514766
ON571595 human CHN 2019 NA 2019-Fuzhou-289 feces serotype 5,OP432294 human CHN 2022 NA HAstV-4-QD-L-22040 NA serotype 4,0.1496350365
ON571594 human CHN 2019 NA 2019-Fuzhou-26 feces serotype 1,OP432294 human CHN 2022 NA HAstV-4-QD-L-22040 NA serotype 4,0.1454545455
OP432301 human CHN 2022 NA HAstV-4-QD-L-22019 NA serotype 4,OP432294 human CHN 2022 NA HAstV-4-QD-L-22040 NA serotype 4,0.0004533092
OP432300 human CHN 2022 NA HAstV-4-QD-S-22022 NA serotype 4,OP432294 human CHN 2022 NA HAstV-4-QD-L-22040 NA serotype 4,0.0031731641
OP432299 human CHN 2021 NA HAstV-4-RC-21045 NA serotype 4,OP432294 human CHN 2022 NA HAstV-4-QD-L-22040 NA serotype 4,0.0045330916
OP432298 human CHN 2022 NA HAstV-4-QD-S-22015 NA serotype 4,OP432294 human CHN 2022 NA HAstV-4-QD-L-22040 NA serotype 4,0.0013599275
OP432297 human CHN 2022 NA HAstV-4-QD-L-22001 NA serotype 4,OP432294 human CHN 2022 NA HAstV-4-QD-L-22040 NA serotype 4,0.0031731641
OP432296 human CHN 2021 NA HAstV-4-RC-21047 NA serotype 4,OP432294 human CHN 2022 NA HAstV-4-QD-L-22040 NA serotype 4,0.0407978241
OP432295 human CHN 2022 NA HAstV-4-QD-F-22056 NA serotype 4,OP432294 human CHN 2022 NA HAstV-4-QD-L-22040 NA serotype 4,0.0054397099
OR371570 human CHN 2022 HAstV-4-Fuzhou-2022-10 NA feces serotype 4,OP432293 human CHN 2021 NA HAstV-4-RC-21027 NA serotype 4,0.0036264733
OR222910 human CHN 2021 NA SY2106 stool serotype 5,OP432293 human CHN 2021 NA HAstV-4-RC-21027 NA serotype 4,0.1477428181
LC732124 human JPN 2016 Human-JPN-2016-JP14989 Child-with-acute-gastroenteritis feces serotype 3,OP432293 human CHN 2021 NA HAstV-4-RC-21027 NA serotype 4,0.1434426230
LC732123 human JPN 2016 Human-JPN-2016-JP14665 Child-with-acute-gastroenteritis feces serotype 3,OP432293 human CHN 2021 NA HAstV-4-RC-21027 NA serotype 4,0.1426624262
LC732122 human JPN 2016 Human-JPN-2016-JP14641 Child-with-acute-gastroenteritis feces serotype 3,OP432293 human CHN 2021 NA HAstV-4-RC-21027 NA serotype 4,0.1444797819
ON571598 human CHN 2021 NA 2021-Fuzhou-37 feces serotype 4,OP432293 human CHN 2021 NA HAstV-4-RC-21027 NA serotype 4,0.0027198549
ON571597 human CHN 2019 NA 2019-Pingtan-42 feces serotype 1,OP432293 human CHN 2021 NA HAstV-4-RC-21027 NA serotype 4,0.1490231713
ON571596 human CHN 2019 NA 2019-Fuzhou-306 feces serotype 1,OP432293 human CHN 2021 NA HAstV-4-RC-21027 NA serotype 4,0.1481144934
ON571595 human CHN 2019 NA 2019-Fuzhou-289 feces serotype 5,OP432293 human CHN 2021 NA HAstV-4-RC-21027 NA serotype 4,0.1500912409
ON571594 human CHN 2019 NA 2019-Fuzhou-26 feces serotype 1,OP432293 human CHN 2021 NA HAstV-4-RC-21027 NA serotype 4,0.1468181818
OP432301 human CHN 2022 NA HAstV-4-QD-L-22019 NA serotype 4,OP432293 human CHN 2021 NA HAstV-4-RC-21027 NA serotype 4,0.0040797824
