GBID,country,host,collection_date,strain,isolate,isolation_source,serotype_color
KF211475,China: Jinzhou,Homo sapiens,18-Nov-2010,NaN,JZ,NaN,brown
KP862744,South Korea,Homo sapiens,20-Mar-2014,NaN,kor85,human stool,yellow
KF039913,Russia: Novosibirsk,NaN,07-May-2010,NaN,Rus-Nsc10-N358,NaN,violet
KF039912,Russia: Novosibirsk,NaN,20-Oct-2005,NaN,Rus-Nsc05-623,NaN,violet
KF039911,Russia: Novosibirsk,NaN,17-Apr-2006,NaN,Rus-Nsc06-1029,NaN,pink
KF039910,Russia: Novosibirsk,NaN,10-Aug-2005,NaN,Rus-Nsc05-430,NaN,pink
KC342249,China,Homo sapiens,20-Aug-2012,NaN,km1,stool sample,brown
JN887820,South Korea,Homo sapiens,Feb-2006,lhar/2011/kor,NaN,stool,brown
JQ403108,China,Homo sapiens,2010,NaN,DL030,stool,red
Z25771,NaN,NaN,NaN,NaN,NaN,NaN,brown
